ID,name,cname,population,lon,lat
320881,江苏省宿迁市,宿迁市,471.56,118.2968934,33.95204973
4102,河南省开封市,开封市,467.62,114.3516421,34.80185418
321082,江苏省泰州市,泰州市,461.86,119.919606,32.47605327
5107,四川省绵阳市,绵阳市,461.39,104.705519,31.50470126
4413,广东省惠州市,惠州市,459.7,114.4106581,23.11353985
3204,江苏省常州市,常州市,459.2,119.981861,31.77139674
432801,湖南省郴州市,郴州市,458.18,113.0377045,25.78226398
5134,四川省凉山彝族自治州,凉山州,453.28,102.2595908,27.8923929
3703,山东省淄博市,淄博市,453.06,118.0591343,36.80468485
3304,浙江省嘉兴市,嘉兴市,450.17,120.7604277,30.77399224
5325,云南省红河哈尼族彝族自治州,红河州,450.1,103.3840648,23.36771752
512501,四川省宜宾市,宜宾市,447.2,104.6330191,28.7696748
3210,江苏省扬州市,扬州市,445.98,119.4277776,32.40850525
4407,广东省江门市,江门市,444.89,113.0781253,22.57511678
2202,吉林省吉林市,吉林市,441.47,126.564544,43.87198833
3207,江苏省连云港市,连云港市,439.39,119.1738722,34.60154897
1310,河北省廊坊市,廊坊市,435.88,116.7036022,39.51861063
1307,河北省张家口市,张家口市,434.55,114.8937815,40.81118849
1504,内蒙古赤峰市,赤峰市,434.12,118.9307612,42.29711232
133001,河北省衡水市,衡水市,434.08,115.6862287,37.74692905
5201,贵州省贵阳市,贵阳市,432.46,106.7091771,26.62990674
142601,山西省临汾市,临汾市,431.66,111.5387876,36.09974544
432301,湖南省益阳市,益阳市,431.31,112.3665466,28.58808778
4110,河南省许昌市,许昌市,430.72,113.8353125,34.02673959
4414,广东省梅州市,梅州市,424.01,116.1264031,24.30457061
5105,四川省泸州市,泸州市,421.84,105.4439703,28.8959298
1401,山西省太原市,太原市,420.16,112.5508636,37.89027705
452502,广西贵港市,贵港市,411.88,109.6137076,23.10337316
4205,湖北省宜昌市,宜昌市,405.97,111.3109811,30.73275782
6531,新疆喀什地区,喀什地区,397.94,75.99297327,39.47062719
3411,安徽省滁州市,滁州市,393.8,118.3245704,32.3173506
4412,广东省肇庆市,肇庆市,391.81,112.4796534,23.07866328
3625,江西省抚州地区,抚州市,391.23,116.3609189,27.95454517
342601,安徽省巢湖市,巢湖市,387.3,117.8804904,31.60873255
4302,湖南省株洲市,株洲市,385.56,113.1316953,27.82743293
432501,湖南省娄底市,娄底市,378.56,111.9963964,27.7410733
4502,广西柳州市,柳州市,375.87,109.4224018,24.32905335
4303,湖南省湘潭市,湘潭市,374.86,112.9355556,27.83509505
372301,山东省滨州市,滨州市,374.85,117.9682924,37.40531394
3704,山东省枣庄市,枣庄市,372.93,117.2793054,34.80788308
1423,山西省吕梁地区,吕梁市,372.71,111.1431566,37.5273161
6103,陕西省宝鸡市,宝鸡市,371.67,107.1706455,34.36408081
5110,四川省内江市,内江市,370.28,105.073056,29.59946153
4418,广东省清远市,清远市,369.84,113.0407733,23.69846855
511081,四川省资阳市,资阳市,366.51,104.6359303,30.13219143
2103,辽宁省鞍山市,鞍山市,364.59,123.0077633,41.11874368
6201,甘肃省兰州市,兰州市,361.62,103.8233054,36.06422553
5106,四川省德阳市,德阳市,361.58,104.4023978,31.13113965
4109,河南省濮阳市,濮阳市,359.85,115.0266274,35.75329789
4108,河南省焦作市,焦作市,353.99,113.2118359,35.23460755
